Time (s),Altitude (m)
29.28860000000015,177.57650000000012
29.388600000000153,177.07650000000012
29.488600000000154,176.57650000000012
29.588600000000156,176.07650000000012
29.688600000000157,175.57650000000012
29.78860000000016,175.07650000000012
29.88860000000016,174.57650000000012
29.98860000000016,174.07650000000012
30.088600000000163,173.57650000000012
30.188600000000164,173.07650000000012
30.288600000000166,172.57650000000012
30.388600000000167,172.07650000000012
30.48860000000017,171.57650000000012
30.58860000000017,171.07650000000012
30.68860000000017,170.57650000000012
30.788600000000173,170.07650000000012
30.888600000000174,169.57650000000012
30.988600000000176,169.07650000000012
31.088600000000177,168.57650000000012
31.18860000000018,168.07650000000012
31.28860000000018,167.57650000000012
31.38860000000018,167.07650000000012
31.488600000000183,166.57650000000012
31.588600000000184,166.07650000000012
31.688600000000186,165.57650000000012
31.788600000000187,165.07650000000012
31.88860000000019,164.57650000000012
31.98860000000019,164.07650000000012
32.08860000000019,163.57650000000012
32.18860000000019,163.07650000000012
32.288600000000194,162.57650000000012
32.388600000000196,162.07650000000012
32.4886000000002,161.57650000000012
32.5886000000002,161.07650000000012
32.6886000000002,160.57650000000012
32.7886000000002,160.07650000000012
32.8886000000002,159.57650000000012
32.988600000000204,159.07650000000012
33.088600000000206,158.57650000000012
33.18860000000021,158.07650000000012
33.28860000000021,157.57650000000012
33.38860000000021,157.07650000000012
33.48860000000021,156.57650000000012
33.58860000000021,156.07650000000012
33.688600000000214,155.57650000000012
33.788600000000216,155.07650000000012
33.88860000000022,154.57650000000012
33.98860000000022,154.07650000000012
34.08860000000022,153.57650000000012
34.18860000000022,153.07650000000012
34.28860000000022,152.57650000000012
34.388600000000224,152.07650000000012
34.488600000000226,151.57650000000012
34.58860000000023,151.07650000000012
34.68860000000023,150.57650000000012
34.78860000000023,150.07650000000012
34.88860000000023,149.57650000000012
34.98860000000023,149.07650000000012
35.088600000000234,148.57650000000012
35.188600000000235,148.07650000000012
35.28860000000024,147.57650000000012
35.38860000000024,147.07650000000012
35.48860000000024,146.57650000000012
35.58860000000024,146.07650000000012
35.68860000000024,145.57650000000012
35.788600000000244,145.07650000000012
35.888600000000245,144.57650000000012
35.98860000000025,144.07650000000012
36.08860000000025,143.57650000000012
36.18860000000025,143.07650000000012
36.28860000000025,142.57650000000012
36.38860000000025,142.07650000000012
36.488600000000254,141.57650000000012
36.588600000000255,141.07650000000012
36.68860000000026,140.57650000000012
36.78860000000026,140.07650000000012
36.88860000000026,139.57650000000012
36.98860000000026,139.07650000000012
37.08860000000026,138.57650000000012
37.188600000000264,138.07650000000012
37.288600000000265,137.57650000000012
37.38860000000027,137.07650000000012
37.48860000000027,136.57650000000012
37.58860000000027,136.07650000000012
37.68860000000027,135.57650000000012
37.78860000000027,135.07650000000012
37.888600000000274,134.57650000000012
37.988600000000275,134.07650000000012
38.08860000000028,133.57650000000012
38.18860000000028,133.07650000000012
38.28860000000028,132.57650000000012
38.38860000000028,132.07650000000012
38.48860000000028,131.57650000000012
38.588600000000284,131.07650000000012
38.688600000000285,130.57650000000012
38.78860000000029,130.07650000000012
38.88860000000029,129.57650000000012
38.98860000000029,129.07650000000012
39.08860000000029,128.57650000000012
39.18860000000029,128.07650000000012
39.288600000000294,127.57650000000012
39.388600000000295,127.07650000000012
39.4886000000003,126.57650000000012
39.5886000000003,126.07650000000012
39.6886000000003,125.57650000000012
39.7886000000003,125.07650000000012
39.8886000000003,124.57650000000012
39.988600000000304,124.07650000000012
40.088600000000305,123.57650000000012
40.18860000000031,123.07650000000012
40.28860000000031,122.57650000000012
40.38860000000031,122.07650000000012
40.48860000000031,121.57650000000012
40.58860000000031,121.07650000000012
40.688600000000314,120.57650000000012
40.788600000000315,120.07650000000012
40.88860000000032,119.57650000000012
40.98860000000032,119.07650000000012
41.08860000000032,118.57650000000012
41.18860000000032,118.07650000000012
41.28860000000032,117.57650000000012
